date,symbol,name,asset_type,monthly_return,price,is_synthetic
2010-01-31,GLOBAL_EQ,Global Equity Index,index,0.0316907,103.16907,True
2010-02-28,GLOBAL_EQ,Global Equity Index,index,-0.04960763,98.051096,True
2010-03-31,GLOBAL_EQ,Global Equity Index,index,0.02566192,100.567276,True
2010-04-30,GLOBAL_EQ,Global Equity Index,index,-0.02699356,97.852606,True
2010-05-31,GLOBAL_EQ,Global Equity Index,index,-0.03982771,93.955361,True
2010-06-30,GLOBAL_EQ,Global Equity Index,index,-0.00893073,93.116271,True
2010-07-31,GLOBAL_EQ,Global Equity Index,index,-0.0721627,86.39675,True
2010-08-31,GLOBAL_EQ,Global Equity Index,index,-0.02324166,84.388745,True
2010-09-30,GLOBAL_EQ,Global Equity Index,index,0.00344104,84.67913,True
2010-10-31,GLOBAL_EQ,Global Equity Index,index,0.08026125,91.475583,True
2010-11-30,GLOBAL_EQ,Global Equity Index,index,0.01111772,92.492583,True
2010-12-31,GLOBAL_EQ,Global Equity Index,index,-0.01079247,91.494359,True
2011-01-31,GLOBAL_EQ,Global Equity Index,index,0.015922,92.951132,True
2011-02-28,GLOBAL_EQ,Global Equity Index,index,0.05722031,98.269825,True
2011-03-31,GLOBAL_EQ,Global Equity Index,index,-0.03042691,95.279777,True
2011-04-30,GLOBAL_EQ,Global Equity Index,index,-0.07880693,87.771071,True
2011-05-31,GLOBAL_EQ,Global Equity Index,index,0.04603681,91.811771,True
2011-06-30,GLOBAL_EQ,Global Equity Index,index,0.07318679,98.53118,True
2011-07-31,GLOBAL_EQ,Global Equity Index,index,-0.00350992,98.185344,True
2011-08-31,GLOBAL_EQ,Global Equity Index,index,-0.00673748,97.523822,True
2011-09-30,GLOBAL_EQ,Global Equity Index,index,0.02461066,99.923947,True
2011-10-31,GLOBAL_EQ,Global Equity Index,index,-0.02380539,97.545218,True
2011-11-30,GLOBAL_EQ,Global Equity Index,index,0.05717342,103.122212,True
2011-12-31,GLOBAL_EQ,Global Equity Index,index,-0.02801238,100.233513,True
2012-01-31,GLOBAL_EQ,Global Equity Index,index,0.05676849,105.923618,True
2012-02-29,GLOBAL_EQ,Global Equity Index,index,0.02865792,108.959169,True
2012-03-31,GLOBAL_EQ,Global Equity Index,index,-0.01710108,107.095849,True
2012-04-30,GLOBAL_EQ,Global Equity Index,index,-0.01093588,105.924662,True
2012-05-31,GLOBAL_EQ,Global Equity Index,index,0.01745736,107.773827,True
2012-06-30,GLOBAL_EQ,Global Equity Index,index,0.0560426,113.813752,True
2012-07-31,GLOBAL_EQ,Global Equity Index,index,-0.00101607,113.69811,True
2012-08-31,GLOBAL_EQ,Global Equity Index,index,-0.03818812,109.356193,True
2012-09-30,GLOBAL_EQ,Global Equity Index,index,0.01250994,110.724233,True
2012-10-31,GLOBAL_EQ,Global Equity Index,index,-0.00724709,109.921804,True
2012-11-30,GLOBAL_EQ,Global Equity Index,index,0.0694059,117.551026,True
2012-12-31,GLOBAL_EQ,Global Equity Index,index,0.01044734,118.779121,True
2013-01-31,GLOBAL_EQ,Global Equity Index,index,-0.03483732,114.641176,True
2013-02-28,GLOBAL_EQ,Global Equity Index,index,0.00243266,114.920059,True
2013-03-31,GLOBAL_EQ,Global Equity Index,index,0.03730595,119.207261,True
2013-04-30,GLOBAL_EQ,Global Equity Index,index,-0.00957646,118.065677,True
2013-05-31,GLOBAL_EQ,Global Equity Index,index,0.03015501,121.625949,True
2013-06-30,GLOBAL_EQ,Global Equity Index,index,0.0078687,122.582986,True
2013-07-31,GLOBAL_EQ,Global Equity Index,index,0.00035488,122.626489,True
2013-08-31,GLOBAL_EQ,Global Equity Index,index,-0.03606367,118.204128,True
2013-09-30,GLOBAL_EQ,Global Equity Index,index,0.05577559,124.797033,True
2013-10-31,GLOBAL_EQ,Global Equity Index,index,-0.03383849,120.574089,True
2013-11-30,GLOBAL_EQ,Global Equity Index,index,0.03922103,125.303129,True
2013-12-31,GLOBAL_EQ,Global Equity Index,index,-0.02341499,122.369158,True
2014-01-31,GLOBAL_EQ,Global Equity Index,index,0.0988454,134.464787,True
2014-02-28,GLOBAL_EQ,Global Equity Index,index,-0.04821479,127.981595,True
2014-03-31,GLOBAL_EQ,Global Equity Index,index,-0.01191682,126.456462,True
2014-04-30,GLOBAL_EQ,Global Equity Index,index,-0.00901422,125.316555,True
2014-05-31,GLOBAL_EQ,Global Equity Index,index,0.00634022,126.11109,True
2014-06-30,GLOBAL_EQ,Global Equity Index,index,0.02246121,128.943698,True
2014-07-31,GLOBAL_EQ,Global Equity Index,index,0.04030646,134.140961,True
2014-08-31,GLOBAL_EQ,Global Equity Index,index,0.07413279,144.085205,True
2014-09-30,GLOBAL_EQ,Global Equity Index,index,0.05633517,152.202269,True
2014-10-31,GLOBAL_EQ,Global Equity Index,index,0.02636854,156.21562,True
2014-11-30,GLOBAL_EQ,Global Equity Index,index,-0.06474671,146.101173,True
2014-12-31,GLOBAL_EQ,Global Equity Index,index,0.01932077,148.923959,True
2015-01-31,GLOBAL_EQ,Global Equity Index,index,-0.03309796,143.99488,True
2015-02-28,GLOBAL_EQ,Global Equity Index,index,-0.0444103,137.600024,True
2015-03-31,GLOBAL_EQ,Global Equity Index,index,0.01001912,138.978656,True
2015-04-30,GLOBAL_EQ,Global Equity Index,index,0.05804037,147.045028,True
2015-05-31,GLOBAL_EQ,Global Equity Index,index,-0.07558142,135.931156,True
2015-06-30,GLOBAL_EQ,Global Equity Index,index,0.0337049,140.512701,True
2015-07-31,GLOBAL_EQ,Global Equity Index,index,0.02788982,144.431575,True
2015-08-31,GLOBAL_EQ,Global Equity Index,index,-0.07652378,133.379125,True
2015-09-30,GLOBAL_EQ,Global Equity Index,index,-0.09499774,120.708409,True
2015-10-31,GLOBAL_EQ,Global Equity Index,index,-0.07470267,111.691169,True
2015-11-30,GLOBAL_EQ,Global Equity Index,index,-0.01637094,109.86268,True
2015-12-31,GLOBAL_EQ,Global Equity Index,index,0.00768366,110.706827,True
2016-01-31,GLOBAL_EQ,Global Equity Index,index,0.00429525,111.182341,True
2016-02-29,GLOBAL_EQ,Global Equity Index,index,0.08764954,120.927422,True
2016-03-31,GLOBAL_EQ,Global Equity Index,index,0.03877447,125.616319,True
2016-04-30,GLOBAL_EQ,Global Equity Index,index,0.03853875,130.457414,True
2016-05-31,GLOBAL_EQ,Global Equity Index,index,0.03425253,134.925911,True
2016-06-30,GLOBAL_EQ,Global Equity Index,index,-0.00872753,133.748342,True
2016-07-31,GLOBAL_EQ,Global Equity Index,index,0.02284717,136.804112,True
2016-08-31,GLOBAL_EQ,Global Equity Index,index,-0.03285944,132.308806,True
2016-09-30,GLOBAL_EQ,Global Equity Index,index,-0.01989904,129.675988,True
2016-10-31,GLOBAL_EQ,Global Equity Index,index,-0.00446391,129.097126,True
